House Vote #1 2020-01-07T18:55:00 - Call of the House
person,state,district,vote,name,party
412783,MD,6,Present,Rep. David Trone [D],Democrat
412784,MI,8,Present,Rep. Elissa Slotkin [D],Democrat
412785,MI,9,Present,Rep. Andy Levin [D],Democrat
412786,MI,11,Present,Rep. Haley Stevens [D],Democrat
412787,MI,13,Present,Rep. Rashida Tlaib [D],Democrat
412788,MN,1,Present,Rep. Jim Hagedorn [R],Republican
412789,MN,2,Present,Rep. Angie Craig [D],Democrat
412790,MN,3,Present,Rep. Dean Phillips [D],Democrat
412791,MN,5,Present,Rep. Ilhan Omar [D],Democrat
412792,MN,8,Present,Rep. Pete Stauber [R],Republican
412793,MS,3,Present,Rep. Michael Guest [R],Republican
412794,ND,0,Present,Rep. Kelly Armstrong [R],Republican
412795,NH,1,Present,Rep. Chris Pappas [D],Democrat
412796,NJ,2,Present,Rep. Jefferson Van Drew [R],Republican
412797,NJ,3,Present,Rep. Andy Kim [D],Democrat
412798,NJ,7,Present,Rep. Tom Malinowski [D],Democrat
412799,NJ,11,Present,Rep. Mikie Sherrill [D],Democrat
412800,NM,1,Present,Rep. Debra Haaland [D],Democrat
412801,NM,2,Present,Rep. Xochitl Torres Small [D],Democrat
412802,NV,3,Present,Rep. Susie Lee [D],Democrat
412803,NY,11,Present,Rep. Max Rose [D],Democrat
412804,NY,14,Present,Rep. Alexandria Ocasio-Cortez [D],Democrat
412805,NY,19,Present,Rep. Antonio Delgado [D],Democrat
412806,NY,22,Present,Rep. Anthony Brindisi [D],Democrat
412807,OH,16,Present,Rep. Anthony Gonzalez [R],Republican
412808,OK,5,Present,Rep. Kendra Horn [D],Democrat
412809,PA,4,Present,Rep. Madeleine Dean [D],Democrat
412810,PA,6,Present,Rep. Chrissy Houlahan [D],Democrat
412811,PA,9,Present,Rep. Daniel Meuser [R],Republican
412812,PA,13,Present,Rep. John Joyce [R],Republican
412813,PA,14,Present,Rep. Guy Reschenthaler [R],Republican
412814,SC,1,Present,Rep. Joe Cunningham [D],Democrat
412815,SC,4,Present,Rep. William Timmons [R],Republican
412816,SD,0,Present,Rep. Dusty Johnson [R],Republican
412817,TN,2,Present,Rep. Tim Burchett [R],Republican
412818,TN,6,Present,Rep. John Rose [R],Republican
412819,TN,7,Present,Rep. Mark Green [R],Republican
412820,TX,2,Present,Rep. Dan Crenshaw [R],Republican
412821,TX,3,Present,Rep. Van Taylor [R],Republican
412822,TX,5,Present,Rep. Lance Gooden [R],Republican
412823,TX,6,Present,Rep. Ron Wright [R],Republican
412824,TX,7,Present,Rep. Lizzie Fletcher [D],Democrat
412825,TX,16,Present,Rep. Veronica Escobar [D],Democrat
412826,TX,21,Present,Rep. Chip Roy [R],Republican
412827,TX,29,Present,Rep. Sylvia Garcia [D],Democrat
412828,TX,32,Present,Rep. Colin Allred [D],Democrat
412829,UT,4,Present,Rep. Ben McAdams [D],Democrat
412830,VA,2,Not Voting,Rep. Elaine Luria [D],Democrat
412831,VA,5,Present,Rep. Denver Riggleman [R],Republican
412832,VA,6,Present,Rep. Ben Cline [R],Republican
412833,VA,7,Present,Rep. Abigail Spanberger [D],Democrat
412834,VA,10,Present,Rep. Jennifer Wexton [D],Democrat
412835,WA,8,Present,Rep. Kim Schrier [D],Democrat
412836,WI,1,Present,Rep. Bryan Steil [R],Republican
412837,WV,3,Present,Rep. Carol Miller [R],Republican
412842,ME,2,Present,Rep. Jared Golden [D],Democrat
412843,PA,12,Present,Rep. Fred Keller [R],Republican
412844,NC,9,Present,Rep. Dan Bishop [R],Republican
412845,NC,3,Present,Rep. Gregory Murphy [R],Republican
